Date,City,State,Dead,Injured,Total,Description
7/4/19,Los Angeles (3),California,0,4,4,"Four people, including a 15-year-old girl were wounded, after two perpetrators opened fire in the Historic South-Centralneighborhood.[254][255]"
7/4/19,Rockford,Illinois,0,4,4,Four people were wounded after an argument escalated.[256]
7/4/19,Fresno (1),California,1,3,4,One person was killed and three were injured after gunfire erupted at an Independence Daycelebration.[257]
7/3/19,Katy,Texas,2,3,5,The perpetrator shot and killed his sister and three others at a housewarming party. He later died at a hospital.[258]
7/2/19,Washington Park,Illinois,0,4,4,"A 16-year-old, 12-year-old and an adult were injured when an argument over fireworks escalated. The perpetrator was shot by a by-stander.[259]"
7/2/19,Wellston,Missouri,0,4,4,Four people were injured in a drive-by shooting just before midnight near a local food store.[260]
7/1/19,Baltimore (9),Maryland,0,4,4,"Four women were injured after a suspect opened fire on them, two were discovered by police, the others privately entered the hospital.[261]"
6/30/19,Oakland (3),California,0,4,4,A 12-year-old boy and two adults were injured in a shooting outside of an apartment complex.[262]
6/30/19,Yucaipa,California,0,5,5,Five people were wounded after a fight escalated in a mobile home park after a BBQ.[263]
6/30/19,Dallas (3),Texas,2,2,4,Two teenagers were killed and two were wounded in a drive-by shooting near a playground.[264]
6/30/19,Bay Shore,New York,0,6,6,Six people were shot at a house party.[265]
6/29/19,Baton Rouge (2),Louisiana,0,7,7,Seven people were injured in a shooting outside of a night club after a fight escalated.[266]
6/29/19,Hartford (1),Connecticut,0,4,4,"Police discovered two people wounded, while an additional two were self-transported to area hospitals.[267]"
6/29/19,Chicago (12),Illinois,0,5,5,Five people were wounded after gunfire broke out at a gathering in the Near West Sideneighborhood.[268]
6/28/19,Atlanta (4),Georgia,0,7,7,Seven people were wounded during a drive-by shooting involving two vehicles.[269]
6/28/19,Paterson (2),New Jersey,0,4,4,Four people were wounded by gunfire that erupted on a street.[270]
6/28/19,Hamden,Connecticut,0,5,5,"Five people were wounded in a shooting, after police break up a house party.[271]"
6/28/19,Saint Paul,Minnesota,0,5,5,Five people were wounded in a shooting.[272]
6/27/19,Atlanta (3),Georgia,0,7,7,"Seven people were wounded, two critically, in a drive-by shooting in the Old Fourth Wardneighborhood.[273]"
6/26/19,Akron (1),Ohio,1,3,4,"One man was killed and three others, including a boy, were wounded in a home invasion.[274]"
6/23/19,San Jose (1),California,5,0,5,A four-hour standoff ends after a man kills four people then himself.[275]
6/23/19,Abbeville,South Carolina,3,1,4,Two people were killed and two were wounded in a shooting at an apartment complex. One of the victims later died at the hospital from their injuries.[276]
6/23/19,Columbus (Oh) (2),Ohio,0,5,5,Five people were wounded in a drive-by shooting outside of a local motorcycle club.[277]
6/23/19,La Jolla,California,1,3,4,One person was killed and three others were injured after a drive-by shooting at a party.[278]
6/23/19,South Bend (1),Indiana,1,10,11,One person was killed and ten were injured after the perpetrator opened fire on a patrons at a local bar.[279]
6/22/19,Philadelphia (4),Pennsylvania,0,4,4,Four men were wounded by gunfire in an overnight shooting.[280]
6/22/19,Hampton,Virginia,0,4,4,Two adults and two children were injured in a shooting at Buckroe Beach.[281]
6/22/19,Baltimore (8),Maryland,1,4,5,"A gunman opened fire on a crowd, killing a 19-year-old man and wounding four others.[282]"
6/21/19,Saginaw,Michigan,1,3,4,"Four people were shot, one fatally, at a house on the city's west side.[283]"
6/21/19,Richmond (1),California,0,5,5,Five people were wounded in a drive-by shooting.[284]
6/21/19,Chicago (11),Illinois,0,4,4,"Four people, including a pregnant woman, were wounded in a shooting outside of the Parkway Garden Homes apartment complex.[285]"
6/20/19,Allentown,Pennsylvania,0,10,10,Ten people were injured from gunfire outside of a nightclub.[286]
6/18/19,Newark (2),New Jersey,1,6,7,One man was killed and six others were injured after gunfire broke out in two separate locations in the downtown area.[287]
6/17/19,Dallas (2),Texas,1,1,2,2019 Dallas courthouse shooting: One person was superficially injured and the perpetrator was killed in a shooting next to the Earle Cabell Federal Building.[288]
6/17/19,San Antonio (2),Texas,0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist.[289]"
6/17/19,Memphis (2),Tennessee,0,5,5,Five people were wounded in the parking lot of an apartment complex.[290]
6/16/19,Philadelphia (3),Pennsylvania,1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.[291]
6/16/19,Louisville (2),Kentucky,1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.[292]
6/16/19,Des Moines,Iowa,0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.[293]
6/15/19,Shreveport,Louisiana,0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.[294]
6/15/19,West Des Moines,Iowa,4,0,4,"Three relatives, two children and two adults, were found dead from gunshot wounds in a house.[295]"
6/12/19,Charlotte (2),North Carolina,1,3,4,An adult male was killed at a party in a rented Airbnb; a teenager and two other adults were injured.[296]
6/11/19,Savannah,Georgia,2,2,4,Police responded to a scene and discovered two men deceased and two others injured.[297]
6/11/19,Aurora (Co),Colorado,0,4,4,Four people were wounded in an overnight shooting; the victims were self-transported to the hospital for treatment.[298]
6/9/19,Henning,Tennessee,1,3,4,One was killed and three others were injured in a shooting at a nightclub.[299]
6/9/19,Buffalo (1),New York,0,4,4,Four people were injured in a shooting after a dispute.[300]
6/9/19,Cleveland (Oh) (3),Ohio,1,3,4,"One person was killed and three wounded, after the perpetrator opened fire on a crowd gathered in Kerruish Park.[301]"
6/8/19,White Swan,Washington,5,0,5,Five people were killed after the perpetrator opened fire on the Yakama Indian Reservation.[302][303]
6/8/19,Chicago (10),Illinois,0,4,4,Four people were wounded in the Humbdoltneighborhood after an altercation with the suspect.[304]
6/7/19,Austin,Texas,0,5,5,"Five people were taken to the hospital after the suspect fired shots at the ground, indirectly wounding them.[305]"
6/6/19,Chicago (9),Illinois,1,3,4,One man was killed and three others wounded when a secondary vehicle pulled up next to vehicle and opened fire on Lake Shore Drive.[306]
6/5/19,Santa Rosa,California,0,4,4,"A teenager opened fire at a soccer park, wounding an 11-year-old boy and three others.[307]"
6/1/19,Portsmouth,Virginia,1,3,4,One person was killed and three were critically injured in an overnight shooting.[308]
6/1/19,Chicago (8),Illinois,0,4,4,An adult male and three teenagers were wounded in a shooting in the Austin community of Chicago.[309]
6/1/19,Chicago (7),Illinois,0,4,4,Four men were wounded in two separate locations near Northwestern University's Gold Coast campus.[310]
6/1/19,Atlanta (2),Georgia,0,5,5,Police discovered three individuals wounded after responding to a shooting; an additional two were transported via personal vehicles to the hospital.[311]
6/1/19,Macon,Georgia,0,4,4,Three men and a woman were injured after a suspect opened fire at a block party.[312]
6/1/19,Allendale,South Carolina,0,5,5,Five men were wounded in a shooting at a car wash.[313]
5/31/19,Virginia Beach,Virginia,13,4,17,2019 Virginia Beach shooting: A gunman killed 12 people and injured four others at a city public works building. The gunman died at the scene after being shot by police.[314][315]
5/30/19,Robbins,Illinois,0,5,5,Five people were wounded after a vehicle pulled up to a large gathering and opened fire.[316]
5/29/19,Cleveland,Texas,2,3,5,"A man shot three employees at a local plumbing company, killing one before exchanging gunfire with a sheriff's deputy, also injuring him before committing suicide.[317]"
5/27/19,Trenton (2),New Jersey,1,5,6,"Police responded to a shooting on Walnut Avenue, and found one teenager deceased and five adults injured.[318]"
5/27/19,"Washington, D.C. (3)","Washington, D.C.",0,5,5,A boy and four others were wounded in a shooting in the Barry Farm neighborhood.[319]
5/26/19,Stockton (2),California,1,3,4,Police discovered one person deceased and three injured after responding to reports of a shooting.[320]
5/26/19,La Crosse,Virginia,0,5,5,"Multiple shooters reportedly opened fire at a block party, injuring five people.[321]"
5/26/19,"Washington, D.C. (2)","Washington, D.C.",1,3,4,One teenager was killed and two women and a child were injured after being shot in a parking lot.[322]
5/26/19,Chicago (6),Illinois,2,3,5,"Several people were gathered outside of a party when a man opened fire, killing two and wounding three.[323]"
5/25/19,Oklahoma City (1),Oklahoma,0,5,5,"Five people were wounded in a parking lot, after an SUV pulled up and its occupants began shooting.[324]"
5/25/19,Baltimore (7),Maryland,0,4,4,"Four people, including a teenager were found shot in McElderry Park.[325]"
5/25/19,Chesapeake,Virginia,1,9,10,"Police responded to a noise complaint at a large party, and discovered ten people with gunshot wounds. One later died from their injuries.[326]"
5/25/19,Trenton (1),New Jersey,0,10,10,Ten people were wounded in a shooting at a bar.[327]
5/20/19,Alexandria (1),Louisiana,1,4,5,One teenager was killed and five were injured in a shooting.[328]
5/20/19,Columbus (1),Ohio,0,4,4,Four people were injured in a shooting in the Hilltop neighborhood.[329]
5/20/19,Tulsa,Oklahoma,2,2,4,"A man opened fire on a group of people, killing two and wounding two others at an apartment complex.[330]"
5/19/19,Portland,Oregon,0,5,5,Five people were wounded after gunfire erupted at a warehouse party.[331]
5/18/19,Cascilla,Mississippi,1,5,6,One person was killed and five were injured in a shooting during a family dispute.[332]
5/18/19,Cedar Rapids,Iowa,2,2,4,Two people were killed and two were wounded after an assailant shot into a vehicle outside of a tobacco store.[333]
5/18/19,Atmore,Alabama,1,8,9,One person was killed and eight were wounded at a high school graduation party when a gunman opened fire during a fight.[334]
5/18/19,Long Beach (1),California,1,5,6,A 57-year-old woman was killed and five others were wounded during a vigil at a local bar.[335]
5/18/19,Winston-Salem (2),North Carolina,1,5,6,One man was killed and five were wounded at an overnight block party.[336]
5/18/19,Muncie,Indiana,0,7,7,Seven people were wounded at a house party near the campus of Ball State University.[337]
5/17/19,Sacramento,California,1,4,5,"A woman and three others, including a 4-year-old boy were wounded in what police presume was a targeted shooting. One of the victims later died from their injuries.[338]"
5/16/19,Cleveland (2),Ohio,0,4,4,"Four people, including two teenagers were wounded in a shooting.[339]"
5/15/19,St. Rose,Louisiana,0,4,4,"Four people, including two children were wounded during an altercation between two men in a strip mall parking lot.[340]"
5/13/19,St. Louis (3),Missouri,4,1,5,"Three people were killed and two were critically injured in a shooting at a home. One victim died of their injuries days later, taking the death toll to four.[341]"
5/13/19,New Orleans (2),Louisiana,0,4,4,Three men and a teenager were wounded in a drive-by shooting in the Central Cityneighborhood.[342]
5/11/19,Paulsboro,New Jersey,0,4,4,"A person began shooting at an event that was originally reported to be a rap concert and subsequently described as a birthday party. Four people were injured by the gunfire, and a fifth person suffered a head injury after falling.[343]"
5/11/19,Chestnuthill Township,Pennsylvania,0,4,4,Four people were wounded in a shooting inside of a residence. The perpetrator was later arrested.[344]
5/10/19,St. Louis (2),Missouri,0,6,6,"A shooting was reported near Farragut Elementary School, where two men were discovered wounded, and an additional four were identified at the hospital.[345]"
5/10/19,Philadelphia (2),Pennsylvania,0,5,5,A large group of adult men were ambushed by three teenagers who came out of a breezewayand shot and injured five of them.[346]
5/8/19,Indianapolis (4),Indiana,0,4,4,Four people were wounded in a shooting near the northwest side of Indianapolis.[347]
5/7/19,Highlands,Colorado,1,8,9,"STEM School Highlands Ranch shooting: Authorities responded to the STEM School Highlands Ranch, at about 1:50 pm on a report of shots fired. One student was fatally shot and eight others were injured; two suspects were taken into custody by police.[348][349]"
5/5/19,North Bergen,New Jersey,1,4,5,"Just before 4 am, officers discovered one person deceased and four people wounded, after a fight potentially escalated.[350]"
5/5/19,Oceano,California,0,6,6,Officers responded to a call and discovered six individuals wounded by gunfire; the victims were transported to local hospitals for treatment.[351]
5/4/19,St. Louis (1),Missouri,1,4,5,Five people were shot inside of a vehicle; the incident resulted in one death and four injuries.[352]
5/4/19,Indianapolis (3),Indiana,0,4,4,Three teens and one man were injured after a fight involving between 20 and 30 individuals.[353]
5/4/19,Wilmington (2),Delaware,0,4,4,Four people were wounded in a shooting at West 27th and Tatnall Streets.[354]
5/3/19,Baltimore (6),Maryland,0,4,4,Four people were injured and discovered after a Shot Spotter gunfire alert notified police to the location.[355]
5/3/19,Baltimore (5),Maryland,0,5,5,"Emergency responders discovered a female and two young children injured, and two men were later identified as being wounded in the same incident.[356]"
5/3/19,Dallas (1),Texas,1,3,4,Four men were discovered shot at Cherrywood Park after a drive-by shooting; one of the victims died from their injuries.[357]
5/1/19,Boston (1),Massachusetts,1,3,4,One person was killed and three were wounded while sitting in a parked car in Boston's Dorchester neighborhood.[358]
4/30/19,Charlotte (1),North Carolina,2,4,6,"University of North Carolina at Charlotte shooting: Six people were shot, two fatally, on the last day of classes at the University of North Carolina at Charlotte. The student gunman was taken into custody after he was tackled by one of the students in the classroom. He had several more loaded magazines in a backpack.[359]"
4/28/19,West Chester Township,Ohio,4,0,4,"Four family members, three women and one man, were found shot to death in an apartment. The suspect remains at large.[360]"
4/28/19,Nashville,Tennessee,0,7,7,Two men got into an altercation at a party and exchanged gunfire; seven people were wounded in the crossfire.[361]
4/28/19,Birmingham (3),Alabama,0,4,4,"A suspect in a vehicle opened fire on patrons outside of a nightclub, injuring four.[362]"
4/28/19,Baltimore (4),Maryland,1,7,8,One person was killed and seven were wounded when a gunman opened fire on two cookouts at an intersection.[363]
4/27/19,Jackson,Mississippi,1,3,4,One person was killed and three were injured in a shooting in south Jackson.[364]
4/27/19,Jackson,Michigan,0,4,4,Four people were wounded in an overnight shooting.[365]
4/27/19,Poway,California,1,3,4,Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Powaysynagogue.[366]
4/26/19,Hugo,Oklahoma,0,4,4,"Investigators attempted to make contact with the suspect in relation to another crime, he then began to open fire, injuring three children and himself.[367]"
4/21/19,Philadelphia (1),Pennsylvania,0,4,4,Four people were wounded in the Grays Ferry Section of the city.[368]
4/21/19,Los Angeles (2),California,0,4,4,Four seniors were wounded by gunfire after a suspect opened fire in the vehicle behind them.[369]
4/20/19,Memphis (1),Tennessee,0,7,7,Seven people were wounded in a shooting that police believe occurred after a large fight.[370]
4/20/19,Corpus Christi,Texas,0,4,4,A disturbance in a neighborhood escalated into a shooting; four men were wounded.[371]
4/19/19,Wichita (1),Kansas,0,4,4,"Two suspects fired multiple shots at people attending a party, injuring four.[372]"
4/18/19,Louisville (1),Kentucky,0,4,4,Four people in a vehicle were wounded when they were shot at by at least one person in another car.[373]
4/16/19,Germantown,Maryland,1,3,4,A drive-by shooting killed an 18-year-old male and wounded three other men in a cul-de-sac.[374]
4/14/19,Stockton (1),California,0,4,4,"A man opened fire inside of a bar following a disturbance, wounding four patrons.[375]"
4/14/19,Valleho,California,1,3,4,One man was killed and three were injured in an early morning shooting.[376]
4/14/19,Miami (2),Florida,2,2,4,Two women were killed and another man and woman were wounded in a drive-by shooting outside of Miami's Liberty Cityneighborhood.[377]
4/12/19,Carbondale,Illinois,0,4,4,Four people were injured in a shooting outside of a restaurant and bar.[378]
4/11/19,Phoenix (4),Arizona,3,2,5,"A man killed his wife, two of his daughters, and another man, and injured two people who came to try to help one of the victims. All of the victims were shot, with the exception of one of his daughters who was killed by blunt force trauma.[379]"
4/11/19,Los Angeles (1),California,1,4,5,One person was killed and four were wounded when suspects fired at them from a car in the Watts neighborhood of Los Angeles.[380]
4/11/19,Baltimore (3),Maryland,0,4,4,Four men were wounded in a shooting near Druid Hill Park.[381]
4/9/19,Kansas City (Mo) (1),Missouri,0,4,4,Police found four people with gunshot wounds in front of a residence.[382]
4/7/19,Shreveport (2),Louisiana,0,4,4,Four people were wounded in a shooting at a mobile home park.[383]
4/7/19,Indianapolis (2),Indiana,2,3,5,Two people were killed and three were wounded in a shooting at a motorcycle club hangout.[384]
4/7/19,Winston-Salem (1),North Carolina,0,6,6,Six people were wounded in a shooting outside of a local bar.[385]
4/7/19,Wilmington (1),Delaware,0,6,6,Six young men were wounded in a shooting in the city's East Side district.[386]
4/6/19,Chicago (5),Illinois,0,6,6,At least six people were injured in a shooting at a baby shower.[387]
4/6/19,Tallahassee (2),Florida,0,4,4,Four Florida A&M University students were injured in a shooting following an argument at a house party.[388]
4/4/19,Panama City,Florida,1,3,4,One person was killed and three were found with gunshot injuries in Panama City.[389]
4/4/19,Stockbridge,Georgia,3,2,5,Two officers responding to a suspected hostage situation were wounded and three individuals were later found deceased in a murder–suicide.[390]
4/2/19,Hermanville,Mississippi,0,4,4,A man shot four people in a drive-by shooting outside of a convenience store.[391]
4/2/19,Covington,Kentucky,0,5,5,Five people were wounded in a drive-by shooting at an intersection.[392]
3/31/19,Chicago (4),Illinois,1,4,5,One person was killed and four people were wounded in a shooting in East Garfield Park.[393]
3/31/19,Atlanta (1),Georgia,1,4,5,One person was killed and four were wounded during a house party.[394]
3/31/19,North Charleston,South Carolina,0,7,7,Seven people were wounded in a shooting at an overnight house party.[395]
3/28/19,Baltimore (2),Maryland,0,4,4,Four people were wounded in a shooting near a playground.[396]
3/25/19,North Las Vegas,Nevada,0,5,5,An after-school fight led to a shooting in a neighborhood; five teenagers were wounded.[397]
3/24/19,San Francisco (1),California,1,5,6,A shooting occurred near the Fillmore Heritage Center around 8:40 pm local time; one person was killed and five others were injured.[398]
3/24/19,Phoenix (3),Arizona,0,7,7,"During a warehouse party, a fight broke out and escalated into a shooting; seven people were wounded.[399]"
3/19/19,Phoenix (2),Arizona,2,4,6,An argument at a house party ended in a shooting when the perpetrator returned to the party and killed two and wounded four before fleeing.[400]
3/17/19,Augusta,Georgia,0,4,4,"Four people were wounded after an argument, although the shooter claims that it was in self-defense to being randomly attacked.[401]"
3/17/19,Las Vegas,Nevada,0,4,4,Four people were wounded at the El Cortez Hotel and Casino in an early morning shooting. The suspect was later arrested.[402]
3/17/19,Rochelle,Georgia,1,3,4,"In the early morning, two groups were involved in a dispute, which ended with one person killed and three people wounded.[403]"
3/16/19,Camden,New Jersey,1,3,4,"One man was killed and three others were wounded following a shooting at a ""residential speakeasy"".[404]"
3/15/19,Mobile (1),Alabama,2,3,5,Two men were killed and three others were wounded in an overnight shooting behind a home. The suspect was arrested the next day.[405]
3/14/19,Missoula,Montana,1,3,4,"One person was fatally shot and three others were wounded, including a Montana Highway Patrol trooper following a road rage incident.[406]"
3/13/19,Harvey,Illinois,1,3,4,One person was killed and three were wounded after gunfire erupted in a nightclub.[407]
3/11/19,Paterson (1),New Jersey,0,4,4,Four men were wounded in a shooting inside of a local liquor store.[408]
3/10/19,Denver (1),Colorado,1,4,5,"A conflict between two individuals escalated into a shooting; one man was killed, and four others were injured.[409]"
3/10/19,Shreveport (1),Louisiana,0,4,4,Three children and one adult were wounded in a drive-by shooting.[410]
3/3/19,Oakland (2),California,0,4,4,Four people were injured in a shooting at a sports bar following a fight.[411]
3/3/19,Chicago (3),Illinois,0,6,6,Six people were injured in a shooting at a bar following a fight.[412]
3/2/19,Pine Bluff,Arkansas,1,4,5,One person was killed and four other were wounded at a party when shots were fired into a home.[413]
2/28/19,Joliet,Illinois,4,0,4,Two adults and their 6 and 1-year-old children were killed in an apparent murder suicide.[414]
2/28/19,Oakland (1),California,1,4,5,One person was killed and four others were wounded in a shooting near a gas station.[415]
2/22/19,Birmingham (2),Alabama,2,2,4,Two people were killed and two were injured in a shooting at a party in a home.[416]
2/21/19,Elizabeth,Kentucky,2,2,4,Two people were killed and two others were found wounded in two separate shootings believed to be perpetrated by the same man.[417]
2/21/19,Baltimore (1),Maryland,1,4,5,"Officers on patrol responded to gunshots, and upon investigation discovered a deceased male and four wounded victims.[418]"
2/21/19,Houston (4),Texas,2,2,4,A gunman perched on the roof of a home killed two and wounded two after an argument led to the incident.[419]
2/20/19,Covington,Tennessee,0,4,4,Three adults and a teenager were injured inside a home in a presumed targeted shooting.[420]
2/18/19,Solon Township,Michigan,4,0,4,"A 28-year-old woman killed her three children, ages 8, 6 and 2, before killing herself.[421][422][423]"
2/17/19,Evansville (1),Indiana,0,5,5,Five people were wounded after shots were fired outside of a bar. Two suspects were taken into custody by police.[424]
2/17/19,Henderson,Texas,2,2,4,"Two people were wounded and two were killed in a shooting at an apartment complex. The suspect was later arrested in Bienville Parish, Louisiana.[425]"
2/17/19,New Orleans (1),Louisiana,1,5,6,"After police attempted to arrest a suspect, a gunfight broke out, and led to one person being killed and five being wounded.[426]"
2/16/19,Clinton,Mississippi,4,0,5,"Police responded to a domestic dispute at a residence; upon arrival, the suspect fired shots at officers leading to a 12-hour hostage standoff. Four people were killed, and the suspect was taken into custody and later died.[427]"
2/15/19,Aurora (1),Illinois,6,6,12,"Aurora, Illinois shooting: A man opened fire in his workplace, killing five employees, and injuring five police officers and a civilian before being killed by police.[428]"
2/14/19,Jacksonville (3),Florida,2,2,4,"After a fight broke out near a basketball court at a park, multiple people started shooting at each other. Two people were killed, and two were wounded.[429]"
2/11/19,Livingston,Texas,5,0,5,"A family member heard sounds of gunfire, and upon investigation, found four adults and one toddler deceased.[430]"
2/9/19,Petersburg,Virginia,0,4,4,Four people were injured in a shooting outside of an apartment complex.[431]
2/6/19,New York City (1),New York,1,3,4,A man was killed and three others were injured after a shooting in the lobby of an apartment building around 10:30 pm ET.[432]
2/6/19,Cleveland (1),Ohio,1,3,4,One man was killed and three others were injured after a shooting broke out in Cleveland's Clark–Fulton neighborhood.[433]
2/5/19,San Antonio (1),Texas,2,2,4,"A man and woman were killed and two others injured after the shooter kicked open an apartment door and shot inside, before fleeing.[434]"
2/4/19,"Washington, D.C. (1)","Washington, D.C.",0,5,5,Four men and an elementary-school-age girl were injured in a shooting at a bus stop.[435]
2/4/19,Baton Rouge (1),Louisiana,0,4,4,Four people were wounded in an early morning shooting.[436]
2/3/19,Chicago (2),Illinois,2,5,7,"Around 2 am local time, two people were killed and five people were wounded in a drive-by shooting after a fight outside of a club.[437]"
2/1/19,San Diego (1),California,0,4,4,A fight broke out at a house party and shots were fired; four people were wounded.[438]
1/28/19,Houston (3),Texas,2,4,6,Pecan Park Raid: Four police officers were shot while serving a warrant in southeast Houston. The two homeowners were killed.[439]
1/27/19,Birmingham (1),Alabama,0,5,5,"Police responded to a call and discovered five people with gunshot wounds, along with two of the victims sustaining life-threatening injuries.[440]"
1/26/19,Newark (1),New Jersey,1,3,4,"A gunman opened fire on individuals attending a candlelight vigil, killing one, and wounding three others.[441]"
1/26/19,Indianapolis (1),Indiana,0,5,5,"A man was asked to leave a bar; shortly after, he came back and shot five people, critically wounding two.[442]"
1/26/19,Albany,Georgia,0,4,4,"Two people were found with bullet wounds in front of a residence, and two more arrived at a hospital with gunshot injuries from the same shooting.[443]"
1/26/19,Ascension Parish and Livingston Parish,Louisiana,5,0,5,"January 2019 Louisiana shootings: A 21-year-old man killed five people, including his parents, in two parishes in Louisiana.[444] The suspect fled to Virginia and was arrested the next day.[445]"
1/24/19,State College,Pennsylvania,4,1,5,"A man killed two people and injured one inside a local bar, then drove away and broke into a home and killed the homeowner before killing himself.[446]"
1/24/19,Rockmart,Georgia,4,1,5,A man killed four individuals and injured another in two separate shootings.[447]
1/23/19,Sebring,Florida,5,0,5,2019 Sebring shooting: At least five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[448]
1/20/19,Miami (1),Florida,0,4,4,Three adults and a child were wounded in a shooting while attending a block party.[449]
1/19/19,Gaffney,South Carolina,1,4,5,One person was killed and four others were wounded in a shooting at a nightclub.[450]
1/19/19,Jacksonville (2),Florida,3,2,5,A man killed two people and injured two more before killing himself.[451]
1/19/19,Lebanon,Pennsylvania,0,4,4,"In an apparent targeted shooting, four individuals were discovered shot in a building.[452]"
1/19/19,Chicago (1),Illinois,0,4,4,"Early in the morning, three women and a man were involved in a fight and were injured in the ensuing shooting.[453]"
1/19/19,Houston (2),Texas,3,2,5,Three people were killed and two more were injured by a homeowner in a possible attempted home invasion.[454]
1/17/19,Owensboro,Kentucky,3,1,4,Three people were killed and another person was wounded in a shooting at a home. Two men were arrested in relation to the shooting.[455]
1/16/19,Jacksonville (1),Florida,1,5,6,"A man was killed and five other people were injured in a shooting. The Mayor of Jacksonville described the shooting as gang-related, although this characterization has been disputed by the sister of the deceased man.[456]"
1/16/19,Palmdale,California,3,1,4,Three people were killed and another one was wounded in a shooting.[457]
1/15/19,Little Rock (1),Arkansas,1,4,5,"An argument over a gun inside a local ice cream shop led to a shooting. One man was killed and four others, including the suspected shooter, were injured.[458]"
1/13/19,Phoenix (1),Arizona,1,5,6,"An argument at a motel escalated into a shooting. One person was killed, and five others were injured.[459]"
1/6/19,Roswell,New Mexico,0,4,4,A man injured four people in a shooting following an argument at a party. He was arrested the same day.[460]
1/4/19,Hurt,Virginia,3,2,5,A man killed his wife and son in their home and injured two people who were inside a vehicle before killing himself.[461]
1/4/19,Houston (1),Texas,1,3,4,A man injured his brother and two friends before being killed by a police officer.[462]
1/4/19,Torrance,California,3,4,7,"An argument at the Torrance bowling alley escalated into a fight and three people were killed by gunshots, at least four others were wounded. A suspect who was out of prison on parole has been arrested.[463]"
1/3/19,Texas City,Texas,3,1,4,Three children under the age of six were found deceased along with a wounded woman in an apparent home invasion.[464]
1/2/19,Jonesboro,Arkansas,1,3,4,A 16-year-old boy was killed and three others were wounded during a home invasion.[465]
1/1/19,Columbia (1),South Carolina,0,5,5,Five people were shot and wounded outside of a nightclub around 6am local time.[466]
1/1/19,Tallahassee (1),Florida,0,5,5,Five people were shot and wounded around 3am local time at the University Village Shopping Center.[467]
